gene,logFC_limma,p_limma,FDR_limma,logFC_edgeR,p_edgeR,FDR_edgeR,agree_dir,mean_logFC,p_fisher,FDR_fisher
ENSG00000127418,1.4501792812261742,0.3707783842230868,0.8869891490975266,1.581637763325272,0.22576990510653827,0.9999988525496899,TRUE,1.5159085222757231,0.29134550877786974,0.4655220879868753
ENSG00000071909,-3.3349070819695372,0.37088362482648285,0.8869891490975266,-4.32662000731098,0.04229706459414096,0.9999988525496899,TRUE,-3.830763544640259,0.08086647534153037,0.2788376681282453
ENSG00000174721,-2.7564578488346907,0.3710805859354924,0.8869891490975266,-1.383009284426286,0.5535912375603578,0.9999988525496899,TRUE,-2.0697335666304886,0.5305489662783045,0.6480437640025293
ENSG00000244219,-2.247354950238439,0.3710909569247087,0.8869891490975266,-1.4389474640165365,0.40685089107425937,0.9999988525496899,TRUE,-1.8431512071274878,0.4364214976040974,0.5802114943980337
ENSG00000182916,2.3316205239009955,0.3712511032986792,0.8869891490975266,6.022254617555504,0.3090347670789538,0.9999988525496899,TRUE,4.176937570728249,0.3631392964576827,0.520048710111097
ENSG00000187210,2.061513790745868,0.37134114539814683,0.8869891490975266,3.5755449438834046,0.15444418228471332,0.9999988525496899,TRUE,2.8185293673146363,0.22129393206623624,0.408335412038742
ENSG00000120251,-2.132855664279567,0.3713748960707401,0.8869891490975266,-3.352373060527996,0.3290365328530353,0.9999988525496899,TRUE,-2.7426143624037813,0.3790675581371308,0.5334817141583078
ENSG00000175189,-3.8591849688077433,0.37161522944029635,0.8871857526379363,-7.693162152089058,0.02587141958045759,0.9999988525496899,TRUE,-5.776173560448401,0.05426755033425856,0.2429351215337288
ENSG00000030419,-1.5837361231100204,0.37171279002264657,0.8871857526379363,-1.3846547485646663,0.2949644843776609,0.9999988525496899,TRUE,-1.4841954358373433,0.35200961076827253,0.510395896173744
ENSG00000007866,-2.528962326415898,0.3724428789156584,0.8876378306302444,-1.0013526716848793,0.5815548016008699,0.9999988525496899,TRUE,-1.7651574990503884,0.5479274540969117,0.661528869870239
ENSG00000189433,-2.7958255945237314,0.37252013609659634,0.8876637841247063,-3.0171198643345307,0.17152513217327048,0.9999988525496899,TRUE,-2.9064727294291313,0.2396434088933608,0.42471635185238926
ENSG00000155254,1.2544994176839683,0.37306276559846996,0.8880075618223058,1.0342848342987232,0.3943287591238058,0.9999988525496899,TRUE,1.1443921259913457,0.42905610690779816,0.5736926796057191
ENSG00000159173,2.118881755961865,0.3734366070585003,0.8880711176859639,1.4469316834750694,0.3494488274211134,0.9999988525496899,TRUE,1.7829067197184671,0.39624171697341415,0.5470216066941616
ENSG00000130176,1.93602016394035,0.37368149154478647,0.8880711176859639,1.117466339070778,0.48627907198862286,0.9999988525496899,TRUE,1.5267432515055641,0.4915938752542656,0.6205354143362853
ENSG00000101335,-1.703556874336244,0.37371508157956596,0.8880711176859639,-1.7724812124134608,0.17560207768306918,0.9999988525496899,TRUE,-1.7380190433748524,0.2443746747434733,0.42891899074081913
ENSG00000198911,-1.1651083909363025,0.373768288915648,0.8880711176859639,-0.7886343751236918,0.5204281759734777,0.9999988525496899,TRUE,-0.9768713830299971,0.5129913528276422,0.6356599420147484
ENSG00000151490,-3.5330438737704224,0.37381055353639236,0.8880711176859639,-7.724512018176581,0.15842989447560718,0.9999988525496899,TRUE,-5.628777945973502,0.22661291011217385,0.4136538453832541
ENSG00000010017,-1.006438906320831,0.3739670093008266,0.8880711176859639,-0.9488198483535693,0.3919434696558822,0.9999988525496899,TRUE,-0.9776293773372001,0.4280288985596066,0.5730456294911578
ENSG00000275111,1.2015283919883062,0.3744459287589147,0.8884029941789319,0.7290229308036821,0.5031446374541472,0.9999988525496899,TRUE,0.9652756613959941,0.5028757731471876,0.6281024645832133
ENSG00000134013,-1.6804100488946252,0.3747378106049329,0.8884029941789319,-1.121287983812995,0.3542556122120163,0.9999988525496899,TRUE,-1.40084901635381,0.4008164337328125,0.5505064546155521
ENSG00000012048,-2.5125618792252977,0.37495687492984714,0.8884029941789319,-3.0401706578441634,0.2392573083705443,0.9999988525496899,TRUE,-2.776366268534731,0.3060191602834883,0.4755566884815542
ENSG00000185262,1.3132919656384148,0.3750140603486712,0.8884029941789319,1.2826154487346193,0.3273343596467037,0.9999988525496899,TRUE,1.297953707186517,0.38024153792815585,0.5339990360579396
